year,RNP,vessel_registration_number,species_permit,fishing_gear_number,fishing_gear_type_en
2017,305007437,7013357136,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,306000902,2601217913-4,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305006926,25013387135,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,306001777,0303102213-8,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2013,302001250,16021572135,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,306001702,3101061213-5,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2015,306001090,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,306001090,NA,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2015,305005878,NA,ESCAMA MARINA,11,HOOK AND LINES / ROD AND REEL
2012,306001090,2504003313-6,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2013,305007411,3025690133,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2017,305007346,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306001041,3001280713-1,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2016,305007304,25011839131,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2014,305006793,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2013,305007783,0701A57513-9,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305006371,20031507136,ESCAMA MARINA,80,HOOK AND LINES / ROD AND REEL
2015,305007320,3103019813-5,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305006306,3102122113-9,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305007338,3103019013-9,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,306001835,3002643013-6,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2015,305005829,0701721313-4,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2012,306001710,14022309138,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2016,306001801,0304100913-5,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2017,305007338,2502017113-3,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305006876,2502066613-6,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305007288,0301003513-7,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,306001108,0303162313-6,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305005795,3103236413-6,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,306001926,25043493135,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2012,306001918,25043494132,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2012,306001033,14024199138,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305005423,0303001613-7,ESCAMA MARINA,40,HOOK AND LINES / ROD AND REEL
2015,305006769,2501054313-0,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,306000936,1402163013-4,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2012,306001892,1402162913-6,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2014,305000036,0304049713-2,ESCAMA MARINA,210,HOOK AND LINES / ROD AND REEL
2015,306001744,NA,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2016,306001900,2502068913-6,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2015,305008054,3032359134,ESCAMA,2,HOOK AND LINES / ROD AND REEL
2017,306001785,NA,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2016,305000671,30034793137,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305006264,26031283133,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007064,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,302001169,7010669139,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2012,306001290,25043495134,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,306001785,NA,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2015,305007437,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007312,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305006769,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006827,0701286313-5,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,306001108,25043936139,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305007437,3103019613-4,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,305007270,3002373013-6,ESCAMA MARINA,45,HOOK AND LINES / ROD AND REEL
2017,305005423,0701B949138,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305003113,0304078713-1,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,306001710,20031598139,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305007692,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,306000274,NA,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2017,306000274,3001421513-8,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2013,305005423,3002373113-0,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305006470,NA,ESCAMA MARINA,60,HOOK AND LINES / ROD AND REEL
2012,306001918,2502052513-6,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2017,306001702,3001619213-7,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2015,305006371,NA,ESCAMA MARINA,80,HOOK AND LINES / ROD AND REEL
2017,305006884,3001300313-8,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,302001169,25015267136,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2015,305006371,20031503137,ESCAMA MARINA,50,HOOK AND LINES / ROD AND REEL
